Ano;Mês;Seção - Sigla;Seção - Nome;II;IE;IPI;IRPF;IRPJ;IRRF;IOF;ITR;Cofins;Pis/Pasep;CSLL;Cide;Contribuição Previdenciária;CPSSS;Pagamento Unificado;Outras Receitas Administradas;Receitas Não Administradas
2016;Jan;A;Agricultura, pecuária, prod. florestal, pesca e aqüicultura;2.742.218,39;;893.858,53;;146.667.897,73;49.347.429,86;609.206,80;2.222.251,21;37.609.112,67;8.484.832,27;77.514.368,33;142.078,76;8.008.290,28;;41.971.216,43;3.377.850,67;1.511.240,76
2016;Jan;B;Indústrias extrativas;42.899.799,99;;24.953.912,90;;516.453.293,87;163.430.757,24;1.230.716,94;2.391.927,42;122.691.146,84;25.694.934,49;212.367.626,69;13.041.968,55;11.200.042,79;;160.988.934,95;1.448.689,59;613.493.926,42
2016;Jan;C;Indústrias de transformação;1.633.818.001,81;1.040.859,45;2.849.757.405,91;9.117,98;3.010.670.002,51;3.359.712.444,44;109.169.789,55;630.487,68;6.030.543.304,24;1.295.735.323,12;1.325.159.277,67;623.615.800,05;646.795.525,63;1.263,79;1.951.565.530,42;95.494.213,69;2.453.095.402,77
2016;Jan;D;Eletricidade e gás;5.328.420,02;;2.175.445,33;;995.310.108,75;547.590.056,38;12.592.106,13;920.472,99;1.352.860.067,31;298.104.642,79;425.645.649,12;2.746.902,33;680.414,86;;179.025.502,78;865.732,36;1.646.606,00
2016;Jan;E;Água, esgoto, ativ. de gestão de resíduos e descontaminação;354.256,59;;1.432.422,12;;53.338.128,20;157.670.948,54;532.902,88;6.683,00;223.045.284,90;56.909.464,06;26.390.887,65;73.401,70;7.286.865,92;;59.672.185,90;515.722,66;714.449,10
2016;Jan;F;Construção;6.708.438,26;1.800,34;8.721.875,30;1.331,86;767.155.734,03;359.799.021,77;10.881.135,84;458.637,75;551.881.194,69;120.983.522,54;426.225.027,19;3.033.644,07;299.824.019,64;12.076,64;572.113.499,68;12.357.325,92;16.864.795,15
2016;Jan;G;"Comércio; reparação de veículos automotores e motocicletas";1.056.400.228,70;491.131,59;869.702.765,09;15.712,59;2.321.721.498,15;1.367.816.397,23;7.167.852,68;89.055,07;2.917.756.227,98;642.785.164,81;1.284.275.802,11;30.306.492,89;132.274.498,07;;3.516.641.601,74;94.276.861,01;34.201.895,66
2016;Jan;H;Transporte, armazenagem e correio;56.100.797,71;;10.526.693,30;307,59;833.779.726,21;612.624.997,83;2.475.484,88;49.102,04;637.510.291,96;138.905.015,76;373.174.335,85;10.950.779,57;281.456.333,05;49.129,56;483.832.063,93;15.266.710,29;7.219.470,88
2016;Jan;I;Alojamento e alimentação;613.007,87;;221.694,34;2.425,78;139.569.719,52;73.619.590,60;769.367,67;15.454,36;166.484.689,54;36.578.651,41;70.414.538,87;3.583.875,56;28.073.362,50;16,47;521.581.484,17;4.149.892,84;3.030.316,67
2016;Jan;IN;Inválido;5.139,72;;;5.719,92;131.220,44;195.401,51;;5.372,99;70.366,72;23.124,81;106.449,67;;19.968,21;1.392,11;16.591.034,55;10.582.838,24;55.950,21
