Tributo;Ano;Mês;Decêndio;Arrecadação Bruta;Retificação;Compensação;Restituição;Outros;Arrecadação Líquida
IPI;2019;Janeiro;1º decêndio;1.184.376.191,13;;-22.835.343,52;-445.212,05;3.899.508,36;1.164.995.143,92
IPI;2019;Janeiro;2º decêndio;505.362.810,07;1.508.551.632,45;-91.511.158,02;-7.933.945,05;-1.923.033.857,43;-8.564.517,98
IPI;2019;Janeiro;3º decêndio;3.124.520.357,20;23.446,58;-176.542.912,08;-42.858.973,78;127.922.587,68;3.033.064.505,60
IPI;2019;Fevereiro;1º decêndio;846.117.580,21;1.832.646,16;-81.701.322,01;-21.654,92;2.969.183,40;769.196.432,84
IPI;2019;Fevereiro;2º decêndio;636.136.421,98;-111.724,14;-59.915.844,65;-4.456.015,80;50.000.414,64;621.653.252,03
IPI;2019;Fevereiro;3º decêndio;2.671.755.120,04;-162.355,67;41.362.110,70;-15.684.509,87;56.696.001,28;2.753.966.366,48
IPI;2019;Março;1º decêndio;792.597.698,74;1.038.845,23;5.999.805,32;-5.460.343,68;2.753.363,85;796.929.369,46
IPI;2019;Março;2º decêndio;725.018.802,99;159.277,75;-71.946.973,32;-7.996.657,92;68.133.677,33;713.368.126,83
IPI;2019;Março;3º decêndio;2.989.251.642,54;210.961,81;-44.879.875,93;-35.369.781,66;98.905.350,25;3.008.118.297,01
IPI;2019;Abril;1º decêndio;1.041.004.094,90;9.840.950,81;-32.002.781,62;-5.518.746,28;3.002.599,21;1.016.326.117,02
IPI;2019;Abril;2º decêndio;513.245.152,59;-426.560,31;-147.563.736,81;-78.615.193,05;12.075.368,27;298.715.030,69
IPI;2019;Abril;3º decêndio;3.026.504.178,72;-35.507,02;-336.893.922,12;-53.961.596,89;117.627.075,94;2.753.240.228,63
IPI;2019;Maio;1º decêndio;957.958.891,62;417.020,76;-27.378.913,84;-1.395.523,53;4.679.392,22;934.280.867,23
IPI;2019;Maio;2º decêndio;542.667.314,97;177.914,99;-62.819.916,65;-7.638.177,03;73.273.717,40;545.660.853,68
IPI;2019;Maio;3º decêndio;3.003.874.421,89;347.933,65;-78.074.575,11;-112.278.348,31;62.966.833,37;2.876.836.265,49
IPI;2019;Junho;1º decêndio;919.788.514,50;-22.514,93;22.391.965,22;-18.216.014,83;2.619.413,27;926.561.363,23
IPI;2019;Junho;2º decêndio;665.664.196,84;-97.327,40;-47.782.797,53;-10.362.669,65;28.589.034,59;636.010.436,85
IPI;2019;Junho;3º decêndio;2.864.006.603,58;-26.728,20;-159.590.307,72;-10.430.691,46;139.094.076,33;2.833.052.952,53
IPI;2019;Julho;1º decêndio;1.027.664.970,95;679.327,81;143.610.924,02;-6.056.185,58;5.215.168,92;1.171.114.206,12
IPI;2019;Julho;2º decêndio;575.968.087,47;-19.663,43;-91.301.585,61;-10.682.944,12;15.983.511,50;489.947.405,81
IPI;2019;Julho;3º decêndio;2.811.106.330,75;8.502.308,29;-466.142.097,35;-45.182.099,08;118.175.838,79;2.426.460.281,40
IPI;2019;Agosto;1º decêndio;953.668.899,26;-167.528,51;-54.281.295,04;-7.387.093,41;3.231.523,68;895.064.505,98
IPI;2019;Agosto;2º decêndio;653.785.193,63;40.473,67;-29.682.260,66;-5.198.597,78;81.802.327,86;700.747.136,72
IPI;2019;Agosto;3º decêndio;2.855.974.350,63;276.475,39;75.771.839,33;-87.638.418,79;62.897.203,74;2.907.281.450,30
IPI;2019;Setembro;1º decêndio;1.108.860.608,82;66.466,11;28.746.017,89;-25.214.707,34;38.940.539,64;1.151.398.925,12
IPI;2019;Setembro;2º decêndio;715.484.592,36;1.026.570,67;63.459.448,55;-12.922.295,04;77.521.178,64;844.569.495,18
IPI;2019;Setembro;3º decêndio;2.840.265.411,50;-428.458,84;2.673.532,06;-51.217.441,04;67.559.394,11;2.858.852.437,79
IPI;2019;Outubro;1º decêndio;1.188.059.306,35;32.036.255,93;-69.236.385,20;-7.463.168,70;4.509.070,07;1.147.905.078,45
IPI;2019;Outubro;2º decêndio;505.982.029,70;13.647,19;-188.985.823,22;-93.043,14;15.645.883,56;332.562.694,09
IPI;2019;Outubro;3º decêndio;3.219.142.721,46;-4.093.619,73;-323.076.673,73;-54.659.736,95;126.444.271,47;2.963.756.962,52
IPI;2019;Novembro;1º decêndio;972.364.792,03;4.320,38;-64.199.373,95;-8.033.067,96;3.905.660,30;904.042.330,80
IPI;2019;Novembro;2º decêndio;657.015.174,75;17.607.007,74;-49.716.646,11;-3.611.615,99;67.823.210,74;689.117.131,13
IPI;2019;Novembro;3º decêndio;3.217.714.771,37;-1.973.349,64;-281.659.862,10;-47.847.397,81;81.050.642,08;2.967.284.803,90
IPI;2019;Dezembro;1º decêndio;1.096.307.551,02;242.936,70;-78.203.298,39;-2.857.528,59;5.136.784,23;1.020.626.444,97
IPI;2019;Dezembro;2º decêndio;1.308.890.309,33;732.040,20;-21.313.917,20;-16.729.344,79;96.744.099,44;1.368.323.186,98
IPI;2019;Dezembro;3º decêndio;2.299.742.945,06;0;-161.447.451,00;-14.973.230,48;50.159.662,25;2.173.481.925,83
IPI;2020;Janeiro;1º decêndio;1.170.011.481,31;124.655,41;-46.785.543,32;-3.325,39;3.333.928,16;1.126.681.196,17
IPI;2020;Janeiro;2º decêndio;557.461.150,13;-58.288,85;-6.798.747,67;-320.792,51;75.633.600,51;625.916.921,61
IPI;2020;Janeiro;3º decêndio;2.914.918.589,13;93.163,60;-527.854.391,25;-78.204.314,40;65.182.393,78;2.374.135.440,86
IPI;2020;Fevereiro;1º decêndio;995.478.985,36;-2.349.244,24;-109.830.869,09;-3.216.302,52;2.156.641,02;882.239.210,53
IPI;2020;Fevereiro;2º decêndio;1.042.063.192,14;250.889,47;-93.577.692,72;-25.194.216,36;67.097.638,79;990.639.811,32
IPI;2020;Fevereiro;3º decêndio;2.123.820.514,33;-74.450,57;-33.096.007,99;-27.487.960,94;56.427.208,04;2.119.589.302,87
